repository,branch,source_path,raw_url,artifact_type,detected_keywords
frappe/erpnext,develop,erpnext/accounts/doctype/account/chart_of_accounts/__init__.py,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/chart_of_accounts/__init__.py,ERPNext Python business logic/test artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/chart_of_accounts/chart_of_accounts.py,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/chart_of_accounts/chart_of_accounts.py,ERPNext Python business logic/test artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/chart_of_accounts/unverified/at_austria_chart_template.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/chart_of_accounts/unverified/at_austria_chart_template.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/chart_of_accounts/unverified/be_l10nbe_chart_template.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/chart_of_accounts/unverified/be_l10nbe_chart_template.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/chart_of_accounts/unverified/ch_l10nch_chart_template.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/chart_of_accounts/unverified/ch_l10nch_chart_template.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/chart_of_accounts/unverified/cl_cl_chart_template.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/chart_of_accounts/unverified/cl_cl_chart_template.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/chart_of_accounts/unverified/cn_l10n_chart_china.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/chart_of_accounts/unverified/cn_l10n_chart_china.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/chart_of_accounts/unverified/cr_account_chart_template_0.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/chart_of_accounts/unverified/cr_account_chart_template_0.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/chart_of_accounts/unverified/cr_account_chart_template_x.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/chart_of_accounts/unverified/cr_account_chart_template_x.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/chart_of_accounts/unverified/de_l10n_de_chart_template.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/chart_of_accounts/unverified/de_l10n_de_chart_template.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/chart_of_accounts/unverified/ec_ec_chart_template.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/chart_of_accounts/unverified/ec_ec_chart_template.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/chart_of_accounts/unverified/es_account_chart_template_common.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/chart_of_accounts/unverified/es_account_chart_template_common.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/chart_of_accounts/unverified/et_l10n_et.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/chart_of_accounts/unverified/et_l10n_et.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
